index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
291,CdS3,2015,M,LS,18.0,30,30,23,26,2016-06-14,yes
292,CdS4,2010,M,TC,21.0,60,57,28,21,2011-02-25,yes
293,CdS4,2016,M,LS,1.5,12,12,24,0,0000-00-00,no
294,CdS3,2015,M,LS,22.0,51,48,27,26,2016-06-29,yes
295,CdS3,2013,M,LS,17.0,27,27,20,19,2014-07-10,yes
296,CdS3,2012,F,LS,11.0,12,12,29,0,0000-00-00,no
297,CdS4,2014,M,LC,10.0,39,36,25,0,0000-00-00,no
298,CdS4,2014,M,LS,10.0,12,12,22,0,0000-00-00,no
299,CdS3,2014,M,AL,10.0,21,21,26,0,0000-00-00,no
300,CdS3,2014,F,LS,18.0,33,33,25,27,2015-06-09,yes
301,CdS3,2011,M,LS,12.0,6,6,25,0,0000-00-00,no
302,CdS3,2014,M,LS,18.0,12,12,25,25,2015-07-15,yes
303,CdS4,2013,M,IT,17.0,12,12,25,0,0000-00-00,no
304,CdS4,2013,F,IT,15.0,51,48,26,25,2014-02-27,yes
305,CdS4,2010,M,LC,8.0,30,27,26,21,2016-02-24,yes
306,CdS4,2014,M,TC,13.0,51,48,23,20,2015-02-05,yes
307,CdS3,2016,M,LS,6.0,24,24,22,18,2017-06-27,yes
308,CdS3,2013,F,LS,12.0,24,21,29,0,0000-00-00,no
309,CdS3,2015,F,LS,13.0,27,27,21,18,2016-06-29,yes
310,CdS4,2010,M,LS,15.0,51,48,26,20,2014-06-17,yes
311,CdS3,2010,F,LS,18.0,24,24,29,24,2013-02-07,yes
312,CdS4,2016,M,IT,3.75,12,12,26,0,0000-00-00,no
313,CdS4,2011,M,LS,12.0,24,24,21,18,2012-02-10,yes
314,CdS3,2015,F,LS,8.0,6,6,27,0,0000-00-00,no
315,CdS3,2014,F,TC,10.0,24,24,25,0,0000-00-00,no
316,CdS3,2011,F,AL,9.0,9,6,20,19,2014-07-10,yes
317,CdS3,2015,F,LS,17.0,36,33,27,28,2017-01-18,yes
318,CdS3,2013,F,IT,5.0,3,0,0,19,2016-06-14,yes
319,CdS3,2015,F,AL,9.0,18,15,26,0,0000-00-00,no
320,CdS4,2015,M,LS,18.0,51,48,27,0,0000-00-00,no
321,CdS4,2016,M,TC,-1.25,24,24,24,0,0000-00-00,no
322,CdS3,2014,M,IT,11.0,6,6,26,0,0000-00-00,no
323,CdS3,2012,F,AL,7.0,6,6,24,0,0000-00-00,no
324,CdS4,2016,M,LS,12.75,24,24,25,0,0000-00-00,no
325,CdS4,2013,M,IT,9.0,39,36,22,18,2014-02-27,yes
326,CdS3,2014,M,LS,17.0,6,6,28,0,0000-00-00,no
327,CdS3,2014,F,LS,8.0,6,6,24,0,0000-00-00,no
328,CdS3,2010,M,LS,19.0,60,60,29,24,2011-02-25,yes
329,CdS4,2011,M,IT,7.0,39,36,28,23,2015-01-15,yes
330,CdS3,2011,M,LL,12.0,24,24,27,0,0000-00-00,no
331,CdS4,2016,M,LS,5.0,51,48,22,19,2017-01-19,yes
332,CdS4,2012,M,IT,17.0,39,36,27,19,2015-02-26,yes
333,CdS4,2015,F,LS,10.0,36,36,23,19,2016-07-11,yes
334,CdS3,2012,F,LS,15.0,33,33,24,28,2014-09-17,yes
335,CdS4,2014,M,LS,14.0,39,36,23,18,2015-01-15,yes
336,CdS4,2014,M,LS,20.0,48,48,27,23,2015-01-15,yes
337,CdS4,2013,M,LS,17.0,39,36,22,24,2014-02-06,yes
338,CdS3,2014,F,TC,10.0,24,21,28,21,2016-06-29,yes
339,CdS3,2015,F,LS,12.0,12,12,23,0,0000-00-00,no
340,CdS4,2013,M,LS,10.0,48,48,26,29,2014-02-27,yes
341,CdS4,2013,F,LS,10.0,39,36,21,19,2014-02-27,yes
342,CdS4,2010,M,LL,13.0,51,48,25,18,2011-02-25,yes
343,CdS3,2014,M,LS,9.0,21,21,30,0,0000-00-00,no
344,CdS4,2014,M,LS,10.0,39,36,24,19,2016-01-19,yes
345,CdS3,2012,F,LS,10.0,12,12,20,0,0000-00-00,no
346,CdS3,2012,M,IT,10.0,33,33,27,0,0000-00-00,no
347,CdS3,2016,M,LS,7.5,3,0,0,0,0000-00-00,no
348,CdS4,2014,M,LS,12.0,39,36,22,20,2015-01-15,yes
349,CdS3,2016,F,LL,-0.75,3,0,0,0,0000-00-00,no
350,CdS4,2015,F,LS,19.0,27,24,27,20,2018-02-22,yes
351,CdS4,2014,F,AL,8.0,15,12,28,0,0000-00-00,no
352,CdS4,2012,M,IT,15.0,36,36,23,19,2014-02-27,yes
353,CdS4,2013,M,AL,14.0,27,24,25,0,0000-00-00,no
354,CdS3,2014,F,LS,8.0,12,12,27,0,0000-00-00,no
355,CdS4,2016,M,LS,6.0,24,24,23,0,0000-00-00,no
356,CdS3,2014,F,LS,14.0,30,30,26,0,0000-00-00,no
357,CdS4,2016,F,LL,1.25,51,48,23,20,2017-02-02,yes
358,CdS3,2016,M,LS,7.0,36,33,24,19,2017-06-27,yes
359,CdS3,2014,F,IT,6.0,24,24,22,19,2015-06-09,yes
360,CdS4,2013,M,LS,8.0,27,24,25,0,0000-00-00,no
361,CdS4,2013,F,LS,22.0,51,48,30,31,2014-02-06,yes
362,CdS3,2015,F,AL,8.0,18,15,24,0,0000-00-00,no
363,CdS4,2012,M,AL,6.0,24,24,22,0,0000-00-00,no
364,CdS4,2011,F,LS,12.0,36,36,23,21,2012-02-10,yes
365,CdS4,2016,M,IT,6.5,39,36,22,0,0000-00-00,no
366,CdS4,2014,M,IT,15.0,51,48,28,25,2015-09-17,yes
367,CdS4,2013,M,LS,10.0,27,24,24,23,2014-02-27,yes
368,CdS3,2011,M,AL,8.0,30,30,27,21,2014-09-17,yes
369,CdS4,2013,F,LS,22.0,48,48,28,25,2014-02-06,yes
370,CdS3,2014,M,LS,18.0,24,24,24,0,0000-00-00,no
371,CdS3,2012,M,LS,12.0,33,33,25,28,2014-09-17,yes
372,CdS3,2011,F,IT,13.0,6,6,25,0,0000-00-00,no
373,CdS4,2013,M,IT,7.0,3,0,0,0,0000-00-00,no
